01,Desert Island Shipwreck,Water Colour 30" x 20"
02,Dreams of Erotica,Water Colour 35" x 20"
03,The Pillagers,Water Colour 19" x 25"
04,Flight of The Albatros,Water Colour 22" x 29"
05,Gemini Meets Aquarius,Oil Colour 24" x 36"
06,In Search of My Pegasus,Water Colour 20" x 23"
07,In Search of the Promised Land,Water Colour 29"x 22"
08,Mindscape from the Temple of Love,Water Colour 30" x 40"
09,On The Verge of a Dream,Oil Colour  48" x 42"
10,Prayer For Philomena,Water Colour 20" x 27"
11,Primary Shapes,Water Colour 27" x 20"
12,Return of the Argonauts,Water Colour 41" x 29"
13,Rock and Roller-Coaster Revisited,Water Colour 22" x 29"
14,Rock and Roller-Coaster,Water Colour 22" x 29"
15,Small Wonder II,Water Colour 19" x 32"
16,Small Wonder,Water Colour 19" x 32"
17,Parable of the Puritones &amp; Optimyths,Oil Colour 36" x 26"
18,Post-Morphmain,Oil Colour 15" x 22"
19,Space Lab Disaster,Water Colour 27" x 20"
20,The Birthstone,Water Colour 36" x 20"
21,The Fallen Eagles,Water Colour 22" x 29"
22,The Love or Why Leaf,Water Colour 28" x 19"
23,The Reeper,Water Colour 34" x 21"
24,The Evolution of Peace,Oil Colour 35" x 48"
25,The Timegame Backwards,Oil Colour 24" x 24"
26,The Troubles,Water Colour 35" x 19"
27,Three Pieces of Mind,Oil Colour 24" x 40"
28,Dali's Ka,Water Colour 17" x 22"
29,Dali's Ka Revisited,Oil Colour 23" x 29"
30,In The Golden Rains,Oil Colour 25" x 39"
31,In the Light of New Through the Light Old,Water Colour 23" x 34"
32,Mindscape from the 7th Level,Oil Colour 24" x 36"
33,Human Cenotaph to the Earth,Water Colour 35" x 29"
34,The Evolution of Peace II,Oil Colour 35" x 47"
35,The Creatures Who Forever Sleep,Oil Colour 18" x 42"
36,The Colour and I,Oil Colour 24" x 36"
37,Galileo (Jupiter Mission),Oil Colour 40" x 24"
38,The Mating Ritual of the Metal and the Femetal,Oil Colour 25" x 25"
39,Paradise Opens Tomorrow,Oil Colour 28" x 36"
40,The Coming,Water Colour 20" x 29"
41,The Jazz Machine Revisited,Water Colour 22" x 30"
42,Blues Machine Returns with Love,Oil Colour 20" x 38"
43,A Thing O' Purpose,Water Colour 23" x 20"
44,Little Boy Blue Come Tickle Your Brain,Oil Colour 17" x 43"
45,Variations on a theme by Leonardo,Water Colour  19" diameter
46,The Alchemists Puzzle,Water Colour  19" x 15"
47,Sunrise,Water Colour  22" x 22"
48,Thought Waves,Water Colour  23" x 17"
49,LOVE - The Universal Organ Recital,Oil Colour
50,Sunset,Water Colour
51,Taming the Hounds of Aries,Water Colour 26" x 22"
52,Baptism of Fire,Water Colour 26" x 22"
53,Smoke and Mirrors,Water colour 24" x 20"
54,The Sane Fishers,Oil Colour 44" x 24"
55,Yesterday's History,Water Colour 22" x 29"
56,Today's a Gift (that's why we call it the present), Water Colour 22" x 29"
57,Tomorrow's a Mystery, Water Colour 22" x 29"
58,Dream Flight, Water Colour 30" x 23"
59,"Your Memory Is Your Bible, Your Imagination Your Future", Oil Colour 23" x 23" 1967
60,Love Machine, Water Colour 20" x 28"
61,The Guardians, Water Colour 12" x 18"
62,In the Golden Rains Revisited, Water Colour 24" x 20"
63,Food for Thought, Water Colour 20" x 14"
64,More Food For Thought, Water Colour 20" x 13"
65,The Magic Box, Water Colour 22" x 29"
66,The Magic Ball, Water Colour 22" x 29"
67,The Wishing Star, Water Colour 22" x 29"
68,Sparrowhawk, Water Colour 21" x 14"
69,Temple of Love Revisited, Water Colour 22" x 30"
70,The Marble Run, Water Colour 20" x 28"
71,Fire Nymphs, Water Colour 22" x 22"
